id,title,developer_id,price_min,price_max,bhk_config,locality,city,rera_number,cover_image_local,source_platform,source_url
c66248ab-804f-477f-b3e9-4277316a2af2,"Flats / Apartments for Sale in Rojid, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-rojid-ahmedabad
ea5a7db6-a4ff-48ef-a0f4-a8d9e7d58363,"Flats / Apartments for Sale in Sector 7, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-sector-7-gandhinagar
7fc2bfb0-148a-45d6-91be-7aa8816d8d91,"Flats / Apartments for Sale in Mansa Road, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-mansa-road-gandhinagar
c42e0a15-93c4-41ed-b149-7b1623753635,"Flats / Apartments for Sale in Vasana Hadmatiya, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-vasana-hadmatiya-gandhinagar
cee4bba3-6c40-4c32-a151-e4c42fc03e1f,"Flats / Apartments for Rent in Bareja, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-bareja-ahmedabad
64cd0d8d-9b50-4eb8-9dc2-2e387d07aceb,"Flats / Apartments for Rent in Vani, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-vani-ahmedabad
a52d8fe1-f795-4e88-bf22-884a65d2550e,"Flats / Apartments for Sale in Jalia No Math, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-jalia-no-math-gandhinagar
e2bcd8aa-5841-4ecc-b73e-c9985d9fadd8,"Flats / Apartments for Sale in Shiyawada, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-shiyawada-ahmedabad
27a5c9bb-2339-4800-b213-0ca46241c9af,"Flats / Apartments for Rent in Chaulaj, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-chaulaj-ahmedabad
a541b8c0-9d42-4a82-b1b0-4a78e99eb5b7,"Flats / Apartments for Sale in Pratapnagar, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-pratapnagar-gandhinagar
ac433931-cc2d-4d50-91c9-7e244a51518c,"Flats / Apartments for Sale in Dhanala, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-sale-in-dhanala-ahmedabad
40c7922c-4b22-47c2-a46f-9bafa86e58be,"Flats / Apartments for Rent in Dudheshwar Tavdipura, Ahmedabad",9f027614-9e09-4c4a-bc1c-35db1637260c,,,,Ahmedabad,Ahmedabad,Id,,addressbox,https://www.addressbox.com/property-search/flats-for-rent-in-dudheshwar-tavdipura-ahmedabad
